"","salary","age","elevel","car","zipcode","credit","brand"
"83",141497.9248,65,2,12,1,406525.6569,"Belkin"
"84",140088.8312,64,4,4,8,281727.2777,"Belkin"
"85",34934.23067,46,1,10,1,461915.6023,"Elago"
"86",69474.53053,69,4,17,4,387894.2142,"Belkin"
"87",29272.23437,48,1,15,2,436948.4525,"Elago"
"88",64788.44873,79,4,5,1,77918.10245,"Belkin"
"89",135639.8791,27,4,19,6,19186.17634,"Elago"
"90",30651.27828,70,3,4,6,274973.3405,"Belkin"
"91",124914.8927,20,3,14,0,422490.7151,"Elago"
"92",51554.6034,43,1,6,8,403873.2068,"Elago"
"93",40777.17765,24,3,18,2,389602.4913,"Elago"
"94",22852.18355,20,3,19,3,471134.0016,"Elago"
"95",46972.72177,58,4,1,3,202696.6148,"Belkin"
"96",81360.09472,57,2,1,5,464026.0106,"Belkin"
"97",118399.6735,52,3,2,2,349837.5019,"Belkin"
"98",97797.99614,51,1,17,0,322701.6857,"Belkin"
"99",34013.2303,37,4,2,7,35509.86716,"Elago"
"100",136958.0552,62,3,1,2,471262.0422,"Belkin"
"101",73966.94405,28,1,4,6,427243.0564,"Belkin"
"102",58996.45533,43,2,9,4,327786.8183,"Elago"
"103",137604.4732,80,2,17,1,129093.431,"Belkin"
"104",67246.29728,70,1,7,4,241223.8674,"Belkin"
"105",111248.5351,53,1,18,4,464879.9246,"Belkin"
"106",138762.6193,27,3,18,7,270868.1454,"Elago"
"107",66419.40224,70,1,1,6,430196.5454,"Belkin"
"108",105905.1717,78,1,14,4,221805.0272,"Belkin"
"109",66718.68592,22,3,3,0,359392.595,"Elago"
"110",150000,20,3,8,1,52783.80121,"Elago"
"111",78824.04664,70,1,13,6,36615.60833,"Belkin"
"112",81031.0909,20,3,7,8,281226.6043,"Elago"
"113",35394.28221,26,1,18,4,461495.7806,"Elago"
"114",93010.35031,44,4,14,8,5e+05,"Belkin"
"115",89977.24698,29,2,13,7,119006.3796,"Belkin"
"116",86564.44796,33,2,9,5,477016.951,"Belkin"
"117",141029.8191,22,2,10,8,166924.9082,"Elago"
"118",104962.6416,45,4,10,1,344391.502,"Belkin"
"119",91708.12335,50,3,11,8,446718.263,"Belkin"
"120",79017.63427,24,1,11,1,182439.1782,"Belkin"
"121",126987.4355,77,3,10,8,276517.6124,"Belkin"
"122",50959.11776,69,2,11,4,158345.5348,"Belkin"
"123",97361.54119,52,2,2,1,472890.1963,"Belkin"
"124",57871.06916,27,4,18,5,40516.26375,"Elago"
"125",114719.9929,35,2,1,6,371147.6246,"Elago"
"126",127173.5961,33,2,5,7,278513.526,"Elago"
"127",22550.37379,78,3,20,2,358223.8561,"Belkin"
"128",41046.87118,46,2,13,3,261612.2675,"Elago"
"129",124898.0764,41,4,10,8,425863.757,"Belkin"
"130",126582.4113,54,1,8,8,230828.1126,"Belkin"
"131",70008.3427,44,4,17,2,369048.2027,"Elago"
"132",43081.31822,41,1,6,5,191982.4034,"Elago"
"133",81168.48296,34,4,10,3,35099.85573,"Belkin"
"134",37764.29766,25,1,8,2,284129.4257,"Elago"
"135",150000,23,4,18,3,5e+05,"Elago"
"136",30760.74623,78,3,4,1,224080.096,"Belkin"
"137",115765.8595,71,4,20,6,394825.6264,"Belkin"
"138",50168.50762,34,2,18,4,187646.3446,"Elago"
"139",108117.3094,44,2,9,5,304615.6456,"Belkin"
"140",117407.261,23,1,5,0,302195.4793,"Elago"
"141",98186.30577,76,3,8,1,199271.624,"Belkin"
"142",123561.0308,48,2,19,8,76055.51482,"Belkin"
"143",85061.24877,32,1,12,6,474664.1651,"Belkin"
"144",42224.98333,60,1,5,1,166459.6241,"Belkin"
"145",118559.7817,72,3,3,2,287256.5499,"Belkin"
"146",120060.6862,21,1,17,2,241135.1946,"Elago"
"147",62275.60136,49,2,17,8,428596.1819,"Elago"
"148",48687.53178,41,2,2,8,201617.3953,"Elago"
"149",124449.2735,76,1,1,5,124080.9386,"Belkin"
"150",102587.4285,20,1,20,6,291874.2933,"Elago"
"151",37922.35501,44,2,10,0,411478.2194,"Elago"
"152",20000,69,2,14,2,203408.6924,"Belkin"
"153",20863.03794,53,4,3,0,91408.7083,"Elago"
"154",97753.98263,48,1,18,1,228509.3055,"Belkin"
"155",76230.20993,70,2,18,0,239003.9728,"Belkin"
"156",61490.09424,69,1,19,7,122582.229,"Belkin"
"157",71638.6117,26,1,7,6,173247.3789,"Belkin"
"158",119640.7793,33,2,20,3,331233.6448,"Elago"
"159",85002.33367,62,4,7,8,79004.52057,"Belkin"
"160",126499.072,78,4,10,4,477178.6408,"Belkin"
"161",78407.74455,23,2,15,3,198359.2028,"Belkin"
"162",78825.20872,41,2,7,4,276219.7638,"Belkin"
"163",84333.9113,69,3,17,1,227553.5108,"Belkin"
"164",141174.4209,71,3,3,5,248924.0085,"Belkin"
"165",36326.11199,57,2,5,4,416774.0346,"Belkin"
"166",57481.24511,80,2,20,7,87090.63941,"Belkin"
"167",122464.6149,35,4,4,7,474694.3411,"Elago"
"168",115800.1138,30,4,13,0,462889.3802,"Elago"
"169",43973.41539,49,4,9,3,436988.9052,"Elago"
"170",138893.0818,51,4,4,8,247379.1391,"Elago"
"171",136962.606,74,1,1,8,420048.2066,"Belkin"
"172",130833.0008,23,2,16,5,29638.03906,"Elago"
"173",25721.72544,24,2,10,4,141667.1945,"Elago"
"174",125982.6712,53,1,2,3,251534.6838,"Belkin"
"175",102942.1021,30,3,9,7,418543.0306,"Elago"
"176",122105.3795,33,4,18,6,308658.6156,"Elago"
"177",146777.3863,24,1,14,4,282599.7609,"Elago"
"178",141049.4866,39,4,5,6,27116.55534,"Elago"
"179",74253.30416,67,1,18,8,50630.05515,"Belkin"
"180",137550.1396,42,2,4,2,277726.9151,"Elago"
"181",114737.6349,40,3,14,7,284935.9197,"Belkin"
"182",94961.68156,36,1,20,0,56898.47698,"Belkin"
"183",80282.98752,68,1,20,7,396729.7297,"Belkin"
"184",98032.43651,32,1,10,5,407000.2727,"Belkin"
"185",57356.59966,73,4,19,2,228469.5188,"Belkin"
"186",31247.7923,33,3,5,0,262716.466,"Elago"
"187",102491.2198,60,2,1,1,431329.0163,"Belkin"
"188",129922.4595,47,2,13,5,465367.285,"Elago"
"189",142684.7682,67,4,15,4,389508.657,"Belkin"
"190",88022.64951,33,4,20,1,67203.58854,"Belkin"
"191",79307.38421,41,3,3,8,298115.4446,"Belkin"
"192",131026.4874,78,3,2,1,264037.6079,"Belkin"
"193",98947.96129,42,3,15,7,47600.89116,"Belkin"
"194",114155.581,69,3,20,4,76642.88812,"Belkin"
"195",90816.37715,49,1,17,0,168983.5016,"Belkin"
"196",39974.65829,38,1,1,3,411599.372,"Elago"
"197",92748.35104,23,2,13,6,376689.6652,"Belkin"
"198",52381.55815,71,2,19,2,53691.27441,"Belkin"
"199",109696.8907,33,2,19,1,306930.8132,"Elago"
"200",47817.84173,77,4,6,8,295701.6721,"Belkin"
"201",129804.126,39,2,19,4,430324.8617,"Elago"
"202",51937.83307,50,3,11,7,180286.3702,"Elago"
"203",75127.15274,58,1,6,4,239634.2341,"Belkin"
"204",71603.97299,52,2,12,1,116490.9076,"Elago"
"205",125684.3106,71,4,2,7,75617.26886,"Belkin"
"206",59632.25172,33,2,13,2,252940.2811,"Elago"
"207",104773.2122,46,3,12,0,334005.1613,"Belkin"
"208",125359.1955,27,1,18,2,472226.632,"Elago"
"209",102822.3753,66,4,5,7,262757.0305,"Belkin"
"210",142989.9354,43,2,19,4,375447.0364,"Elago"
"211",109304.7165,61,1,3,8,88362.85209,"Belkin"
"212",139245.1188,37,2,5,1,42994.18849,"Elago"
"213",125267.5285,36,2,18,0,50457.25686,"Elago"
"214",148913.4369,30,1,19,4,366874.0631,"Elago"
"215",123235.8102,60,1,20,6,5e+05,"Belkin"
"216",89350.37006,40,4,20,5,32435.88793,"Belkin"
"217",142993.2327,36,1,11,1,140425.802,"Elago"
"218",114758.762,68,2,14,8,404982.1119,"Belkin"
"219",22229.85426,29,4,12,2,437096.8629,"Elago"
"220",141199.8067,51,3,9,2,74644.38473,"Elago"
"221",130713.5948,40,3,12,2,56376.68577,"Elago"
"222",129002.9207,63,3,6,2,425581.4366,"Belkin"
"223",60510.33735,70,1,19,3,442853.1873,"Belkin"
"224",58602.99107,29,4,11,0,206282.9013,"Elago"
"225",52205.66794,34,4,14,7,274402.4457,"Elago"
"226",81450.61739,58,2,1,6,131665.4479,"Belkin"
"227",72199.17821,31,4,14,5,302651.4867,"Belkin"
"228",127786.606,46,2,16,1,0,"Elago"
"229",37564.26825,72,1,11,7,407501.0746,"Belkin"
"230",80030.00439,22,4,15,8,390769.0935,"Elago"
"231",115322.3206,31,1,10,8,241098.2754,"Elago"
"232",71814.84043,67,3,8,4,32092.45823,"Belkin"
"233",86877.1143,63,3,5,6,378365.476,"Belkin"
"234",27146.33944,49,3,20,2,8953.972124,"Elago"
"235",63284.71451,36,1,15,8,337130.4733,"Elago"
"236",100933.2663,71,3,20,6,278940.4201,"Belkin"
"237",143926.3711,28,3,20,5,89790.06468,"Elago"
"238",79139.62098,80,4,2,1,13717.50551,"Belkin"
"239",90277.42898,80,4,11,8,140418.7736,"Belkin"
"240",54118.4336,76,3,3,6,466775.872,"Belkin"
"241",148296.65,22,1,17,7,264466.0172,"Elago"
"242",51783.31546,80,3,12,7,468442.5132,"Belkin"
"243",37925.72851,77,2,17,0,242963.7613,"Belkin"
"244",35620.2353,70,2,19,8,26058.18459,"Belkin"
"245",62533.03539,64,3,7,3,287363.1168,"Belkin"
"246",130105.7506,24,1,20,6,450609.6355,"Elago"
"247",29749.4862,78,4,15,7,257292.2451,"Belkin"
"248",93344.43409,23,4,16,3,12468.53599,"Elago"
"249",40552.57176,55,1,15,2,151100.7491,"Elago"
"250",77614.4625,51,3,14,6,0,"Belkin"
"251",68348.53865,64,3,10,0,417646.9735,"Belkin"
"252",70906.75242,56,4,11,5,0,"Belkin"
"253",67657.81084,58,1,14,2,45059.43665,"Belkin"
"254",143060.6818,30,3,18,7,391695.9481,"Elago"
"255",147937.0685,41,2,11,7,42354.73178,"Elago"
"256",129463.5122,80,3,14,6,405806.2747,"Belkin"
"257",78120.11486,54,3,8,3,152523.8094,"Belkin"
"258",111189.0398,33,1,7,4,149039.6527,"Elago"
"259",136275.5045,54,3,14,1,34808.2013,"Elago"
"260",40437.22038,56,1,18,0,162254.9757,"Belkin"
"261",63527.70821,41,3,15,0,425826.2839,"Elago"
"262",132454.5989,37,2,4,0,22796.54745,"Elago"
"263",26937.44371,40,1,17,5,297295.8256,"Elago"
"264",90811.12599,42,4,9,3,86454.34059,"Belkin"
"265",37479.99886,20,4,4,1,410739.6896,"Elago"
"266",73611.10412,68,3,1,2,312588.5565,"Belkin"
"267",50395.58178,28,4,8,0,379625.8939,"Elago"
"268",71970.32457,27,3,10,6,463247.4867,"Elago"
"269",73119.92519,44,4,18,0,38814.7038,"Belkin"
"270",49351.13734,32,2,10,0,300902.5315,"Elago"
"271",52372.29479,43,1,7,4,349856.8397,"Elago"
"272",40892.45979,42,1,6,5,188957.3414,"Elago"
"273",139023.1273,20,4,5,5,104680.5184,"Elago"
"274",140931.9435,45,3,15,6,49061.59666,"Elago"
"275",52566.45174,71,4,5,5,314481.0554,"Belkin"
"276",90992.62484,27,1,10,1,138893.8055,"Belkin"
"277",111128.1033,76,4,11,6,86871.40729,"Belkin"
"278",138388.6703,65,2,19,4,199243.198,"Belkin"
"279",25086.2967,29,4,15,5,407093.8974,"Elago"
"280",42325.29866,67,4,5,7,300351.994,"Belkin"
"281",91888.84731,58,4,7,8,75704.44308,"Belkin"
"282",21221.29813,23,2,13,1,344746.368,"Elago"
"283",83137.80268,68,1,14,7,398524.0977,"Belkin"
"284",84452.19118,27,3,11,5,214214.5143,"Elago"
"285",74139.13223,26,1,3,8,255001.1812,"Belkin"
"286",99523.88097,55,4,13,6,178723.1268,"Belkin"
"287",150000,36,4,14,1,135584.4804,"Elago"
"288",40847.99492,71,2,1,1,90449.37911,"Belkin"
"289",61079.17841,40,1,18,5,195585.406,"Elago"
"290",143519.587,56,2,2,3,185572.3519,"Belkin"
"291",99417.73531,32,2,2,8,33880.24129,"Belkin"
"292",81297.5268,68,1,17,4,472520.8553,"Belkin"
"293",32539.90664,67,4,9,3,26613.75339,"Belkin"
"294",49540.82342,58,4,4,5,209548.4002,"Belkin"
"295",138810.1479,64,4,14,6,266488.6727,"Belkin"
"296",142843.9572,63,3,14,4,198330.4117,"Belkin"
"297",75817.74194,61,4,5,8,41420.26181,"Belkin"
"298",132840.1649,42,2,10,0,485443.2794,"Elago"
"299",57030.03863,23,4,12,3,237213.6995,"Elago"
"300",66329.12629,36,3,17,6,369720.6585,"Belkin"
"301",55914.38172,45,3,8,4,200552.0922,"Elago"
"302",52402.77066,38,4,15,8,83066.52285,"Elago"
"303",137306.4566,43,1,7,1,302713.6834,"Elago"
"304",101307.9145,25,2,17,2,333542.2485,"Elago"
"305",61728.08564,56,1,5,8,468419.0861,"Elago"
"306",76623.2976,26,1,20,1,276471.1771,"Belkin"
"307",146859.2794,46,4,1,7,333101.9542,"Elago"
"308",108750.2014,61,4,3,1,172115.0093,"Belkin"
"309",76794.29133,64,3,15,1,75723.48162,"Belkin"
"310",78098.32868,22,4,9,5,54507.58813,"Elago"
"311",118284.2705,68,4,11,8,283326.8882,"Belkin"
"312",62286.45225,47,2,16,8,75653.36494,"Elago"
"313",22220.17408,54,4,3,5,450939.1686,"Elago"
"314",109549.431,56,2,17,8,462089.7915,"Belkin"
"315",46990.10958,73,3,4,6,149942.844,"Belkin"
"316",78483.73035,65,3,11,5,343226.2001,"Belkin"
"317",43891.56968,77,4,10,6,161369.8533,"Belkin"
"318",29482.81868,57,1,14,0,221367.0628,"Belkin"
"319",150000,65,1,20,8,83166.3364,"Belkin"
"320",150000,24,4,5,8,134339.3949,"Elago"
"321",37866.48004,32,3,6,8,479665.9554,"Elago"
"322",136064.627,32,2,18,3,106617.9865,"Elago"
"323",150000,47,2,5,3,178552.4317,"Elago"
"324",109770.4385,47,3,11,8,333436.7546,"Belkin"
"325",44066.05921,60,4,10,2,181206.0711,"Belkin"
"326",139330.2229,73,3,6,8,104040.5731,"Belkin"
"327",58690.88241,57,2,3,2,321606.6016,"Belkin"
"328",30332.45658,67,4,14,6,475564.424,"Belkin"
"329",90678.14951,43,2,16,6,319219.4426,"Belkin"
"330",109644.3965,24,3,14,8,358954.8191,"Elago"
"331",69005.20497,49,1,3,5,18423.79355,"Elago"
"332",103922.428,23,4,9,5,405893.2985,"Elago"
"333",106671.5149,58,3,15,0,235590.7938,"Belkin"
"334",80362.47045,38,4,10,3,407341.3584,"Belkin"
"335",136687.0725,44,4,15,5,330432.877,"Elago"
"336",72444.86473,60,3,18,5,489115.117,"Belkin"
"337",132842.7175,36,1,15,1,482720.4272,"Elago"
"338",116281.6741,25,1,17,5,177293.9883,"Elago"
"339",68680.19767,48,3,1,3,307693.5944,"Elago"
"340",141803.7458,66,3,8,4,450088.3403,"Belkin"
"341",65642.38258,54,4,8,8,453676.0102,"Elago"
"342",130499.2342,21,4,10,8,433286.9154,"Elago"
"343",140336.9426,38,1,13,0,400679.8107,"Elago"
"344",72328.47527,72,1,7,4,47160.61824,"Belkin"
"345",143027.8673,53,2,1,2,100554.3806,"Elago"
"346",26031.11306,56,1,12,0,338602.4266,"Belkin"
"347",86207.88163,47,4,12,4,296202.7906,"Belkin"
"348",117156.7887,75,3,9,5,300950.424,"Belkin"
"349",76727.48056,39,1,19,6,371292.15,"Belkin"
"350",57249.62632,54,3,14,3,456410.2828,"Elago"
"351",108852.6071,20,4,5,7,372467.6351,"Elago"
"352",47066.89583,57,2,12,4,287239.766,"Belkin"
"353",140087.1515,27,3,2,2,408892.538,"Elago"
"354",98730.46177,24,2,15,6,235430.1087,"Belkin"
"355",132970.1554,24,4,14,5,305754.0925,"Elago"
"356",28475.6638,73,4,13,8,442056.7281,"Belkin"
"357",65863.8693,59,1,9,1,90928.10954,"Belkin"
"358",99123.218,52,2,18,7,460830.3093,"Belkin"
"359",134388.9117,23,3,14,8,162968.6109,"Elago"
"360",38376.14866,75,4,2,8,337329.5399,"Belkin"
"361",94963.23312,54,1,14,2,291187.6177,"Belkin"
"362",33156.79718,73,1,6,7,63779.1544,"Belkin"
"363",42245.67618,74,3,18,4,137882.413,"Belkin"
"364",54741.16061,21,1,3,1,353096.4069,"Elago"
"365",44336.57202,21,4,3,4,437012.2897,"Elago"
"366",130659.5981,52,1,10,7,30504.0452,"Elago"
"367",44720.2626,53,1,16,5,370786.5517,"Elago"
"368",107568.8733,45,3,19,8,439431.4756,"Belkin"
"369",94639.32144,20,3,2,6,26878.22524,"Elago"
"370",129171.0353,57,1,7,6,339736.3049,"Elago"
"371",93127.53473,74,4,2,1,301543.5961,"Belkin"
"372",120177.9575,70,3,6,4,23141.75661,"Belkin"
"373",97830.6173,32,2,9,3,467295.7564,"Belkin"
"374",81126.70197,27,1,6,8,212711.4926,"Elago"
"375",46900.29866,62,1,16,4,439449.2165,"Belkin"
"376",123337.2495,72,3,15,3,129613.7401,"Belkin"
"377",116201.3074,41,4,18,8,332684.1793,"Belkin"
"378",91290.84638,47,2,14,2,135722.7905,"Belkin"
"379",32892.23415,75,2,20,6,45224.38695,"Belkin"
"380",76160.35773,56,3,10,6,257279.7543,"Belkin"
"381",52670.65248,79,3,12,8,275263.4629,"Belkin"
"382",138856.3164,54,1,2,3,453773.0065,"Elago"
"383",122192.9496,38,3,10,7,367631.963,"Elago"
"384",104630.4323,29,3,9,4,240267.6185,"Elago"
"385",88095.77174,34,1,12,0,279258.3288,"Belkin"
"386",98501.12792,69,2,9,4,48842.41293,"Belkin"
"387",120640.235,50,2,18,1,156087.3325,"Belkin"
"388",129505.6701,42,3,20,0,421986.4959,"Elago"
"389",118629.475,20,4,17,5,462810.8779,"Elago"
"390",104505.4652,52,3,1,7,94343.46315,"Belkin"
"391",81018.55222,75,2,4,4,18925.0021,"Belkin"
"392",55898.16297,40,3,17,6,276822.2457,"Elago"
"393",115011.2826,51,4,6,6,317254.9571,"Belkin"
"394",55466.79765,54,1,20,1,112109.5324,"Elago"
"395",92795.42117,66,1,18,4,6259.957775,"Belkin"
"396",81294.36542,52,1,10,3,0,"Belkin"
"397",135583.9408,69,1,15,2,271709.5145,"Belkin"
"398",76283.84299,31,4,3,3,32158.2197,"Belkin"
"399",51916.2733,69,1,8,0,353273.7069,"Belkin"
"400",145612.598,51,1,8,3,301836.1751,"Elago"
"401",94497.95915,60,2,9,1,86903.09391,"Belkin"
"402",56960.46391,27,1,8,3,408452.2193,"Elago"
"403",114654.9216,51,2,14,3,278072.8898,"Belkin"
"404",22777.57836,62,3,3,6,168640.5721,"Belkin"
"405",147853.8663,50,3,3,6,51088.15306,"Elago"
"406",140133.953,43,2,18,5,265621.2205,"Elago"
"407",61514.01533,47,1,16,6,294983.0998,"Elago"
"408",150000,63,3,10,2,425661.8952,"Belkin"
"409",89890.52732,60,4,9,2,168720.4494,"Belkin"
"410",78012.95122,39,4,16,8,494168.9638,"Belkin"
"411",35598.05279,72,2,10,5,306511.3851,"Belkin"
"412",66046.75103,71,4,20,1,358286.3147,"Belkin"
"413",116475.5131,32,2,3,6,97237.90674,"Elago"
"414",58811.48085,39,2,17,8,428296.7706,"Elago"
"415",54103.22757,20,3,15,6,111538.041,"Elago"
"416",83671.52437,67,1,11,5,45509.71031,"Belkin"
"417",99811.29813,69,2,13,5,199408.4901,"Belkin"
"418",50645.92335,47,4,20,3,41873.65888,"Elago"
"419",105962.6212,60,4,11,2,283231.9377,"Belkin"
"420",145781.9156,26,1,17,8,0,"Elago"
"421",113794.8051,31,1,3,0,209477.6593,"Elago"
"422",87101.78174,40,3,9,0,301624.3259,"Belkin"
"423",84838.81147,56,2,4,4,487484.2625,"Belkin"
"424",121229.83,62,1,8,4,159753.8293,"Belkin"
"425",58034.94861,51,3,4,7,11789.20367,"Elago"
"426",87689.74697,49,1,17,8,293835.9857,"Belkin"
"427",62086.15538,47,2,16,7,189275.7486,"Elago"
"428",143245.8031,45,4,9,3,490516.5085,"Elago"
"429",75703.55594,25,1,14,7,361376.3187,"Belkin"
"430",28478.42707,36,3,12,5,442224.1549,"Elago"
"431",133994.2555,43,1,8,8,386874.16,"Elago"
"432",34553.86447,25,1,2,3,238659.2727,"Elago"
"433",115979.234,32,1,11,4,293417.6628,"Elago"
"434",141721.6422,20,4,3,4,305502.492,"Elago"
"435",150000,34,1,14,8,186954.9518,"Elago"
"436",21491.65568,28,1,1,0,401584.2121,"Elago"
"437",44780.7596,63,4,17,5,135774.1475,"Belkin"
"438",56898.9843,20,4,15,1,362385.1302,"Elago"
"439",77244.35355,58,2,9,5,499331.9336,"Belkin"
"440",92617.03514,56,4,1,7,298942.8367,"Belkin"
"441",61633.5168,24,3,17,6,71009.97622,"Elago"
"442",115740.9794,70,3,9,1,40744.8233,"Belkin"
"443",85044.19908,41,2,14,7,151978.3363,"Belkin"
"444",37259.5375,33,3,8,7,376173.5875,"Elago"
"445",94584.75306,80,4,14,3,40707.23006,"Belkin"
"446",67405.79045,44,4,6,1,5e+05,"Elago"
"447",27632.42213,72,2,2,2,224595.8007,"Belkin"
"448",41535.0995,80,2,3,5,378273.1889,"Belkin"
"449",146871.3653,57,3,14,4,330876.0852,"Belkin"
"450",60169.44614,71,1,7,7,165327.627,"Belkin"
"451",46137.10471,41,1,20,2,271616.9791,"Elago"
"452",82081.56063,62,4,17,1,417279.9607,"Belkin"
"453",89944.84523,42,2,20,7,261937.94,"Belkin"
"454",28662.39571,64,4,13,8,118241.0303,"Belkin"
"455",68256.01678,51,3,11,7,307741.8081,"Elago"
"456",130235.4456,76,1,3,0,27372.15,"Belkin"
"457",88149.882,66,4,11,4,440103.6174,"Belkin"
"458",90778.18681,34,4,14,3,0,"Belkin"
"459",44371.96224,60,4,20,0,321115.0116,"Belkin"
"460",27997.80145,39,1,3,6,256836.8822,"Elago"
"461",138232.8495,66,1,19,2,263329.7291,"Belkin"
"462",138425.6903,46,3,2,2,480667.8026,"Elago"
"463",115922.4049,20,1,18,4,214174.1889,"Elago"
"464",133289.9455,26,2,17,4,204590.3685,"Elago"
"465",94392.77089,42,3,20,0,322656.4023,"Belkin"
"466",149085.8809,56,4,3,4,55064.5001,"Belkin"
"467",76445.11021,30,2,12,8,347629.5788,"Belkin"
"468",144220.5253,54,3,10,4,350785.4177,"Elago"
"469",54500.23196,58,3,18,4,23688.4868,"Belkin"
"470",114392.5136,73,4,1,2,490029.3842,"Belkin"
"471",115100.9052,41,1,19,3,43592.86328,"Belkin"
"472",49701.24333,37,3,13,2,84725.75549,"Elago"
"473",110166.0337,79,3,16,2,118087.7802,"Belkin"
"474",150000,23,3,16,4,390932.1977,"Elago"
"475",55420.30641,54,1,19,1,123874.9116,"Elago"
"476",104390.0993,22,1,5,7,416770.1188,"Elago"
